project,language,commits,bcommits,tins,devs,max_commit_age
0xd4d/dnSpy,C#,50992,5003,660833,27,1314
30-seconds/30-seconds-of-code,JavaScript,9797,227,110986,66,741
AFNetworking/AFNetworking,C,1094,190,10243,112,3063
AFNetworking/AFNetworking,Objective-C,2493,654,38366,292,3069
AFNetworking/AFNetworking,Swift,18,4,300,2,369
Alamofire/Alamofire,C,10,2,53,3,1315
Alamofire/Alamofire,Swift,2364,450,67111,121,1958
ApolloAuto/apollo,C,31062,3361,1066132,267,889
ApolloAuto/apollo,C++,34013,6606,854565,297,889
ApolloAuto/apollo,JavaScript,1894,191,20990,25,887
ApolloAuto/apollo,Python,2353,311,65724,112,885
App-vNext/Polly,C#,3144,317,106600,44,2395
AshesOfOwls/jquery.shapeshift,CoffeeScript,72,7,3503,2,115
AshesOfOwls/jquery.shapeshift,JavaScript,381,43,10583,6,267
AutoMapper/AutoMapper,C#,10507,1574,263400,140,3966
AvaloniaUI/Avalonia,C,127,13,2364,5,441
AvaloniaUI/Avalonia,C#,26999,4283,580699,137,2190
AvaloniaUI/Avalonia,Objective-C,191,52,4871,8,446
BVLC/caffe,C++,5234,1016,113511,171,1763
BVLC/caffe,Objective-C,102,40,1624,15,1258
BVLC/caffe,Python,594,120,95607,94,1793
BabylonJS/Babylon.js,C,1266,259,136125,4,824
BabylonJS/Babylon.js,C#,1354,210,54230,27,1495
BabylonJS/Babylon.js,C++,147,39,29744,5,824
BabylonJS/Babylon.js,JavaScript,58510,13364,14209168,162,2358
BabylonJS/Babylon.js,Python,208,48,14337,26,1561
BabylonJS/Babylon.js,TypeScript,41231,9163,25471706,346,2342
Blankj/AndroidUtilCode,Java,4928,7,201153,33,1214
Blankj/AndroidUtilCode,JavaScript,11621,0,633276,2,283
BradLarson/GPUImage,C,1487,218,10922,78,1561
BradLarson/GPUImage,Objective-C,2737,806,57681,143,1562
BradLarson/GPUImage,Swift,43,15,2026,4,614
CMU-Perceptual-Computing-Lab/openpose,C++,4729,847,88672,27,927
CMU-Perceptual-Computing-Lab/openpose,Python,149,30,2362,7,823
CachetHQ/Cachet,JavaScript,389,76,362422,26,1787
CachetHQ/Cachet,PHP,14150,3173,185507,160,1822
Carthage/Carthage,C,793,147,9493,11,1542
Carthage/Carthage,Objective-C,928,170,30374,2,42
Carthage/Carthage,Swift,5720,744,62345,136,1811
CocoaLumberjack/CocoaLumberjack,C,1142,190,10881,75,3333
CocoaLumberjack/CocoaLumberjack,Objective-C,1677,332,66050,117,3437
CocoaLumberjack/CocoaLumberjack,Swift,202,41,1959,25,1850
CocoaPods/CocoaPods,C,587,22,7968,23,3004
CocoaPods/CocoaPods,Objective-C,444,43,27271,21,3004
CocoaPods/CocoaPods,Ruby,11308,2206,141622,330,3037
CocoaPods/CocoaPods,Swift,153,30,19029,11,1772
CodeHubApp/CodeHub,C#,7095,936,140951,4,1947
CodeHubApp/CodeHub,JavaScript,42,4,3098,1,1497
CoderMJLee/MJRefresh,C,273,37,1823,20,2014
CoderMJLee/MJRefresh,Objective-C,521,99,8773,47,2014
ColorlibHQ/AdminLTE,JavaScript,4855,361,999549,30,2171
ColorlibHQ/AdminLTE,PHP,10,0,1067,3,2072
CorsixTH/CorsixTH,C,977,162,80145,23,3725
CorsixTH/CorsixTH,C++,1263,408,86749,33,3725
CorsixTH/CorsixTH,Java,113,22,20554,6,2017
CorsixTH/CorsixTH,Lua,7923,3125,221821,92,3765
CorsixTH/CorsixTH,Python,42,3,419,6,1757
CosmicMind/Material,C,22,0,158,4,1274
CosmicMind/Material,Swift,9859,787,203784,64,1510
CymChad/BaseRecyclerViewAdapterHelper,Java,1137,279,18207,55,1330
DefinitelyTyped/DefinitelyTyped,JavaScript,186,13,1371318,27,2201
DefinitelyTyped/DefinitelyTyped,TypeScript,159924,31716,12008184,13206,2622
Dogfalo/materialize,JavaScript,2836,808,107743,143,1826
EOSIO/eos,C,1683,112,66421,32,687
EOSIO/eos,C++,17943,3161,554862,147,939
EOSIO/eos,JavaScript,3448,431,136898,14,740
EOSIO/eos,Perl,18,5,690,6,460
EOSIO/eos,Python,859,134,26540,41,894
Eugeny/terminus,JavaScript,365,105,2501,3,1065
Eugeny/terminus,TypeScript,2285,596,20380,20,1081
FFmpeg/FFmpeg,Assembly,2231,412,107507,94,4088
FFmpeg/FFmpeg,C,140974,31267,2978354,1922,6930
