project,language,commits,bcommits,Algo,Conc,Mem,Prog,Fail,Perf,Sec,tins,devs,max_commit_age
0xd4d/dnSpy,C#,50992,5003,9,87,561,4346,2450,43,2510,660833,27,1314
30-seconds/30-seconds-of-code,JavaScript,9797,227,8,0,2,217,61,29,137,110986,66,741
AFNetworking/AFNetworking,C,1094,190,1,5,11,173,68,5,117,10243,112,3063
AFNetworking/AFNetworking,Objective-C,2493,654,6,43,62,543,344,7,303,38366,292,3069
AFNetworking/AFNetworking,Swift,18,4,0,0,0,4,0,0,4,300,2,369
Alamofire/Alamofire,C,10,2,0,0,0,2,1,0,1,53,3,1315
Alamofire/Alamofire,Swift,2364,450,1,17,14,418,350,8,92,67111,121,1958
ApolloAuto/apollo,C,31062,3361,39,64,109,3149,1304,115,1942,1066132,267,889
ApolloAuto/apollo,C++,34013,6606,102,143,166,6195,2875,272,3459,854565,297,889
ApolloAuto/apollo,JavaScript,1894,191,8,4,0,179,82,6,103,20990,25,887
ApolloAuto/apollo,Python,2353,311,7,1,5,298,154,1,156,65724,112,885
App-vNext/Polly,C#,3144,317,2,4,29,282,101,2,214,106600,44,2395
AshesOfOwls/jquery.shapeshift,CoffeeScript,72,7,1,0,0,6,3,0,4,3503,2,115
AshesOfOwls/jquery.shapeshift,JavaScript,381,43,1,0,0,42,27,2,14,10583,6,267
AutoMapper/AutoMapper,C#,10507,1574,27,21,78,1448,895,19,660,263400,140,3966
AvaloniaUI/Avalonia,C,127,13,0,0,0,13,5,0,8,2364,5,441
AvaloniaUI/Avalonia,C#,26999,4283,140,106,184,3853,2089,41,2153,580699,137,2190
AvaloniaUI/Avalonia,Objective-C,191,52,0,2,4,46,15,2,35,4871,8,446
BVLC/caffe,C++,5234,1016,4,33,34,945,467,19,530,113511,171,1763
BVLC/caffe,Objective-C,102,40,1,0,1,38,36,0,4,1624,15,1258
BVLC/caffe,Python,594,120,2,0,1,117,56,1,63,95607,94,1793
BabylonJS/Babylon.js,C,1266,259,0,0,1,258,245,0,14,136125,4,824
BabylonJS/Babylon.js,C#,1354,210,0,0,19,191,100,10,100,54230,27,1495
BabylonJS/Babylon.js,C++,147,39,0,0,3,36,23,0,16,29744,5,824
BabylonJS/Babylon.js,JavaScript,58510,13364,110,61,1086,12107,3504,429,9431,14209168,162,2358
BabylonJS/Babylon.js,Python,208,48,1,0,4,43,27,2,19,14337,26,1561
BabylonJS/Babylon.js,TypeScript,41231,9163,65,77,461,8560,2491,320,6352,25471706,346,2342
Blankj/AndroidUtilCode,Java,4928,7,0,0,1,6,3,0,4,201153,33,1214
Blankj/AndroidUtilCode,JavaScript,11621,0,0,0,0,0,0,0,0,633276,2,283
BradLarson/GPUImage,C,1487,218,0,15,46,157,134,24,60,10922,78,1561
BradLarson/GPUImage,Objective-C,2737,806,2,77,144,583,471,99,236,57681,143,1562
BradLarson/GPUImage,Swift,43,15,0,0,0,15,15,0,0,2026,4,614
CMU-Perceptual-Computing-Lab/openpose,C++,4729,847,0,18,0,829,327,4,516,88672,27,927
CMU-Perceptual-Computing-Lab/openpose,Python,149,30,0,0,0,30,15,0,15,2362,7,823
CachetHQ/Cachet,JavaScript,389,76,0,0,4,72,43,1,32,362422,26,1787
CachetHQ/Cachet,PHP,14150,3173,19,4,36,3114,1725,221,1227,185507,160,1822
Carthage/Carthage,C,793,147,0,141,0,6,3,0,144,9493,11,1542
Carthage/Carthage,Objective-C,928,170,0,169,0,1,0,0,170,30374,2,42
Carthage/Carthage,Swift,5720,744,7,181,30,526,267,1,476,62345,136,1811
CocoaLumberjack/CocoaLumberjack,C,1142,190,0,2,8,180,105,0,85,10881,75,3333
CocoaLumberjack/CocoaLumberjack,Objective-C,1677,332,0,8,34,290,155,4,173,66050,117,3437
CocoaLumberjack/CocoaLumberjack,Swift,202,41,0,0,4,37,35,1,5,1959,25,1850
CocoaPods/CocoaPods,C,587,22,0,0,0,22,18,0,4,7968,23,3004
CocoaPods/CocoaPods,Objective-C,444,43,0,0,0,43,39,0,4,27271,21,3004
CocoaPods/CocoaPods,Ruby,11308,2206,27,22,91,2066,1060,18,1128,141622,330,3037
CocoaPods/CocoaPods,Swift,153,30,0,0,0,30,5,0,25,19029,11,1772
CodeHubApp/CodeHub,C#,7095,936,21,3,204,708,549,23,364,140951,4,1947
