project,class,commits,bcommits,tins,devs,max_commit_age
0xd4d/dnSpy,Procedural_Static_Disallow_Managed,50992,5003,660833,27,1314
30-seconds/30-seconds-of-code,Scripting_Dynamic_Allow_Managed,9797,227,110986,66,741
AFNetworking/AFNetworking,Functional_Static_Disallow_Managed,18,4,300,2,369
AFNetworking/AFNetworking,Procedural_Static_Allow_Unmanaged,3587,844,48609,337,3069
Alamofire/Alamofire,Functional_Static_Disallow_Managed,2364,450,67111,121,1958
Alamofire/Alamofire,Procedural_Static_Allow_Unmanaged,10,2,53,3,1315
ApolloAuto/apollo,Procedural_Static_Allow_Unmanaged,65075,9967,1920697,309,889
ApolloAuto/apollo,Scripting_Dynamic_Allow_Managed,1894,191,20990,25,887
ApolloAuto/apollo,Scripting_Dynamic_Disallow_Managed,2353,311,65724,112,885
App-vNext/Polly,Procedural_Static_Disallow_Managed,3144,317,106600,44,2395
AshesOfOwls/jquery.shapeshift,Scripting_Dynamic_Allow_Managed,453,50,14086,7,267
AutoMapper/AutoMapper,Procedural_Static_Disallow_Managed,10507,1574,263400,140,3966
AvaloniaUI/Avalonia,Procedural_Static_Allow_Unmanaged,318,65,7235,8,446
AvaloniaUI/Avalonia,Procedural_Static_Disallow_Managed,26999,4283,580699,137,2190
BVLC/caffe,Procedural_Static_Allow_Unmanaged,5336,1056,115135,173,1763
BVLC/caffe,Scripting_Dynamic_Disallow_Managed,594,120,95607,94,1793
BabylonJS/Babylon.js,Procedural_Static_Allow_Unmanaged,1413,298,165869,5,824
BabylonJS/Babylon.js,Procedural_Static_Disallow_Managed,1354,210,54230,27,1495
BabylonJS/Babylon.js,Scripting_Dynamic_Allow_Managed,58510,13364,14209168,162,2358
BabylonJS/Babylon.js,Scripting_Dynamic_Disallow_Managed,208,48,14337,26,1561
Blankj/AndroidUtilCode,Procedural_Static_Disallow_Managed,4928,7,201153,33,1214
Blankj/AndroidUtilCode,Scripting_Dynamic_Allow_Managed,11621,0,633276,2,283
BradLarson/GPUImage,Functional_Static_Disallow_Managed,43,15,2026,4,614
BradLarson/GPUImage,Procedural_Static_Allow_Unmanaged,4224,1024,68603,150,1562
CMU-Perceptual-Computing-Lab/openpose,Procedural_Static_Allow_Unmanaged,4729,847,88672,27,927
CMU-Perceptual-Computing-Lab/openpose,Scripting_Dynamic_Disallow_Managed,149,30,2362,7,823
CachetHQ/Cachet,Scripting_Dynamic_Allow_Managed,14539,3249,547929,161,1822
Carthage/Carthage,Functional_Static_Disallow_Managed,5720,744,62345,136,1811
Carthage/Carthage,Procedural_Static_Allow_Unmanaged,1721,317,39867,11,1542
CocoaLumberjack/CocoaLumberjack,Functional_Static_Disallow_Managed,202,41,1959,25,1850
CocoaLumberjack/CocoaLumberjack,Procedural_Static_Allow_Unmanaged,2819,522,76931,139,3437
CocoaPods/CocoaPods,Functional_Static_Disallow_Managed,153,30,19029,11,1772
CocoaPods/CocoaPods,Procedural_Static_Allow_Unmanaged,1031,65,35239,25,3004
CocoaPods/CocoaPods,Scripting_Dynamic_Disallow_Managed,11308,2206,141622,330,3037
CodeHubApp/CodeHub,Procedural_Static_Disallow_Managed,7095,936,140951,4,1947
CodeHubApp/CodeHub,Scripting_Dynamic_Allow_Managed,42,4,3098,1,1497
CoderMJLee/MJRefresh,Procedural_Static_Allow_Unmanaged,794,136,10596,49,2014
ColorlibHQ/AdminLTE,Scripting_Dynamic_Allow_Managed,4865,361,1000616,30,2171
CorsixTH/CorsixTH,Procedural_Dynamic_Allow_Managed,7923,3125,221821,92,3765
CorsixTH/CorsixTH,Procedural_Static_Allow_Unmanaged,2240,570,166894,33,3725
CorsixTH/CorsixTH,Procedural_Static_Disallow_Managed,113,22,20554,6,2017
CorsixTH/CorsixTH,Scripting_Dynamic_Disallow_Managed,42,3,419,6,1757
CosmicMind/Material,Functional_Static_Disallow_Managed,9859,787,203784,64,1510
CosmicMind/Material,Procedural_Static_Allow_Unmanaged,22,0,158,4,1274
CymChad/BaseRecyclerViewAdapterHelper,Procedural_Static_Disallow_Managed,1137,279,18207,55,1330
DefinitelyTyped/DefinitelyTyped,Scripting_Dynamic_Allow_Managed,186,13,1371318,27,2201
Dogfalo/materialize,Scripting_Dynamic_Allow_Managed,2836,808,107743,143,1826
EOSIO/eos,Procedural_Static_Allow_Unmanaged,19626,3273,621283,149,939
