project,class,commits,bcommits,Algo,Conc,Mem,Prog,Fail,Perf,Sec,tins,devs,max_commit_age
0xd4d/dnSpy,Procedural_Static_Disallow_Managed,50992,5003,9,87,561,4346,2450,43,2510,660833,27,1314
30-seconds/30-seconds-of-code,Scripting_Dynamic_Allow_Managed,9797,227,8,0,2,217,61,29,137,110986,66,741
AFNetworking/AFNetworking,Functional_Static_Disallow_Managed,18,4,0,0,0,4,0,0,4,300,2,369
AFNetworking/AFNetworking,Procedural_Static_Allow_Unmanaged,3587,844,7,48,73,716,412,12,420,48609,337,3069
Alamofire/Alamofire,Functional_Static_Disallow_Managed,2364,450,1,17,14,418,350,8,92,67111,121,1958
Alamofire/Alamofire,Procedural_Static_Allow_Unmanaged,10,2,0,0,0,2,1,0,1,53,3,1315
ApolloAuto/apollo,Procedural_Static_Allow_Unmanaged,65075,9967,141,207,275,9344,4179,387,5401,1920697,309,889
ApolloAuto/apollo,Scripting_Dynamic_Allow_Managed,1894,191,8,4,0,179,82,6,103,20990,25,887
ApolloAuto/apollo,Scripting_Dynamic_Disallow_Managed,2353,311,7,1,5,298,154,1,156,65724,112,885
App-vNext/Polly,Procedural_Static_Disallow_Managed,3144,317,2,4,29,282,101,2,214,106600,44,2395
AshesOfOwls/jquery.shapeshift,Scripting_Dynamic_Allow_Managed,453,50,2,0,0,48,30,2,18,14086,7,267
AutoMapper/AutoMapper,Procedural_Static_Disallow_Managed,10507,1574,27,21,78,1448,895,19,660,263400,140,3966
AvaloniaUI/Avalonia,Procedural_Static_Allow_Unmanaged,318,65,0,2,4,59,20,2,43,7235,8,446
AvaloniaUI/Avalonia,Procedural_Static_Disallow_Managed,26999,4283,140,106,184,3853,2089,41,2153,580699,137,2190
BVLC/caffe,Procedural_Static_Allow_Unmanaged,5336,1056,5,33,35,983,503,19,534,115135,173,1763
BVLC/caffe,Scripting_Dynamic_Disallow_Managed,594,120,2,0,1,117,56,1,63,95607,94,1793
BabylonJS/Babylon.js,Procedural_Static_Allow_Unmanaged,1413,298,0,0,4,294,268,0,30,165869,5,824
BabylonJS/Babylon.js,Procedural_Static_Disallow_Managed,1354,210,0,0,19,191,100,10,100,54230,27,1495
BabylonJS/Babylon.js,Scripting_Dynamic_Allow_Managed,58510,13364,110,61,1086,12107,3504,429,9431,14209168,162,2358
