text,label
changing interface to improve rendering,0
cs Visitor,0
README Adapter,0
README in StaticFactory,0
fix a typo,0
grammatical correction,0
README for Builder,0
test with mockup,0
added facade composite and adapter,0
comments,0
README Decorator,0
some fixes on comments,0
fix PSR-0,0
fix tiny typo,0
Fix PHPDoc in FactoryMethod,0
fix typo,1
bugfix in UserMapper::findAll,1
fixed typo in Singleton,0
fixing namespace,1
Fix typo,0
"in an operation, inherit the unit of either operand",0
Experimental support for mixins with interpolated selectors.,0
Declare `e` properly in `mediaFeature`,1
Improvements to browser tests that don't raise a false negative when switching branches,1
chunkify with a zero-width regexp,0
1.5.0 release,0
change @arguments behaviour to be more like js,0
add '--no-color' option,0
critical fix for browser,1
Make rhino error support better,0
ability to insert uppercase color names,0
Fixed inner quotes,1
Added rootpath tests.,0
Fix #791 - avoid engineering syntax in dimensions,1
Fix global variable leaks,1
"fix error message when no filename, also try to print stack",1
fix 'File not found' import error,1
"use a hash to store variables, fixes variable redifinition bug",1
fix font shorthand with %,1
"Update tree.js

in windows system,path sep is '\',the old regexp is not match it. I whrite a
new regexp and fix it;",1
"[models] Properly respect the return value of the radio group delegate's willShow method.

The logic was inverted.",1
[core] Flesh out the metrics tests.,0
Remove tableView delegates when dealloc.,0
Ability to customise album and photo scroll view background colors.,0
[core] Modernize NIIsPad.,0
[models] Take into account images on switch cell layouts.,1
"Added justify text example, which only works in CoreText",0
[attributedlabel] Add support for inline images.,0
Update the photo albums project to not use ASI anymore and the new processor features.,0
[overview] Suppress analyzer warnings.,0
[overview] Fix strict warnings.,0
Fix implicit float/double conversion,1
"[attributedlabel] Don't remove images when the run delegate deallocates.

This caused periodic crashes that were revealed by avoiding the memory leak fixed in 3b46abf455389e55384663b526a0567e13e27460.",1
"Fixed bugs related to reusing table view cells

- SegmentedControl selected index reapplied from FormElement object
- DatePicker date is saved to FormElement on change",1
"[photos] Fix bugs in the layout of the photo scroll views.

Due to pushing the scroll view down to a subview I needed to update
the way we calculate centering the photo. This needed to be done
when the scrollview's layoutSubviews method was called so I created
a simple subclass of UIScrollView that handles this. The rest of
the photo scroll view functionality was able to stay in the root
of the view.

Also fixed some issues with photo centering. The problem was related
to when we set the frame of the paging scroll view and the fact that
it was simply setting the frame of all of the subviews, without giving
them the opportunity to maintain their existing state.",1
Fix rotation issues in the paging scroll view demo by forwarding the proper events to the view.,1
Removed networking operations from Nimbus. AFNetworking is now the default networking stack.,0
"[css] Maintain casing of CSS property values.

Fixes #185.",1
"Fix up vertical alignment of images in attributed strings. Now supports top, bottom and middle alignment.",0
[core] Add NIError.h/m.,0
Restoring FindTypeMapFor,0
Reverting commit where destination objects passed in are void methods,1
Adding overload for ForSourceMember that just takes in the property name as a string,0
Fixed issue where the profile was not being used correctly,1
"Better syntax: Ability to write Map<B>(objectA) instead of Map<A,B>(objectA)

Tests for Map method with one generic parameter",0
Applying patch for ordering member mapping from Mattias Fagerlund,0
Verifying inheritance is working OK; closes #153,1
Adding sample for mapping to interfaces,0
Integrating patch to fix ambiguous match exceptions on multiple IEnumerable implementors,1
"Added ability for custom resolver to programatically determine if the mapping should be ignored (and thus use destination value).

closes #21",0
Win RT version compiling including unit tests,0
Tests passing for WinRT,0
"PrimitiveArrayMapper implementation

Fixes AutoMapper/Automapper#279",0
Fixed bug where destination collections were not cleared before mapping,1
"Modified data reader mapper to support yielding records rather than loading the entire result set into memory

added configuration option that allows user to specify whether DataReaderMapper should buffer all results into a List or use yield return via an Enumerable. The default behavior uses a List for backwards compatibility

Fixing compile error; closes #254",0
"Fixed issue with mapping og void methods

Fixed a bug where matching void methods were added to the typemap on
CreateMap, thus failing with a .NET type coersion exception. Such
methods should've been filtered out but the ReturnType was checked
against null instead of typeof(void). Added unit tests to support the
fix.

closes #214",1
Fixing bug where type map resolution did not attempt to find a map for the underlying member type,1
Trying to fix SN problem and probing adapter resolver issue,1
Adding a test to verify deep nested graph of filling existing destinations; closes #170,0
"- Removing configuration validation from dynamic mapping
- Adding overloads for mapping to existing objects for dynamic mapping",0
"Support block delete , put",0
"e,E to use XVimMotion",0
"Fix #189.

* XVimWindow is no longer an NSView
* Associate XVimWindow instance with DVTSourceTextView
* Associate XVimStatusLine with container view
* Associate XVimCommandLine with editor
* Move command line functions to XVim",0
"Prevent crashes after deletion.

If you delete the last characters on a line the cursor ends up in an
invalid position. Replace all [view cut] with [view del], where the
latter adjusts the cursor position after deletion.",1
Made 'dj' and 'dk' function like vim,0
Fix color for static text field,0
"Design changes of Evaluators.
Added separated files for some evaluators.
NSTextView+VimMotion is added to implement vim motion.
TextObjectEvaluator is goint to use this category to handle motions.
And Normal and Visual evaluator will use the evaluator as its super
class.
Its implemntation is not completed.",0
Initial parser implementation based on a FSM,0
Merged latest,0
"Support Ctrl-p, Ctrl-n in command and search history",0
"Made scrollToCursor more like vim

If scrolling more than the page height then center the view",0
"Movement is working with whitespace at eol.

Special cases still fail.",1
Fix block selection corruption,1
A handful of additional fixes to the way register playback their macros,0
Fix memory leaks,1
"Handful of fixes and better visual support

Reorganized the way XVimVisualEvaluator handles a number of actions in
order to be more extensible in the future.",0
fix first selection range of visual mode of 'V',1
"Following bug fix for nextLine
 - 'j' on a blankline moves cursor 2 lines donw",1
"Fix #443
The root cause of the problem was inconsistent state of observer objects.
Because we have not unhook ""dealloc"" method, if XVim is disabled once and
a view is newly created and deallocated the method ""removeObserver"" is called
for a object which is not registered as a observer.

This has not been a problem in Xcode4 because Xcode4 deos not dealloc unused
view objects. Xcode5 does properly dealloc unused view objects which leads crashes.",1
Fix memory leak,1
"add tracing for BEGIN/COMMIT/ROLLBACK

Traces the beginning and ends of transactions.",0
Add named query parameter binding from map or struct.  Fixes #61,0
"Adds support for SAVEPOINT, ROLLBACK TO SAVEPOINT, and RELEASE SAVEPOINT",0
gofmt,0
gofmt,0
maybeExpandNamedQuery: ignore time.Time struct - fixes #84,1
Support nested fields in embedded structs,0
gofmt,0
Allow callers to get data out in slices of pointers or values,0
